text;label
thật sự bất ngờ với đoạn plot twist cuối;clean

phim dở ẹc, coi muốn ngủ;clean
xem nửa tập là đoán được hết;clean
cốt truyện rối như mớ bòng bong;clean
diễn viên phụ diễn còn hay hơn diễn viên chính;clean
đoạn cao trào làm chưa đã;clean
web ổn mà phim không hợp gu;clean

phim như *** mà cũng khen hay, mấy ông mù à;toxic
ad bị gì vậy, up phim tào lao chi;toxic
phim chán thấy bà, phí thời gian vcl;toxic
coi xong muốn đập luôn cái màn hình;toxic
diễn viên đơ như cây cơ, coi phát bực;toxic
ai viết cái kịch bản nhảm nhí này vậy;toxic
phim rẻ tiền, không hiểu sao điểm cao;toxic
coi mà ức chế, tình tiết vô lý vl;toxic
đm sub gì sai tùm lum, dịch như hạch;toxic
ad làm ăn như c**, update lỗi hoài;toxic
bấm play hoài không chạy, web phèn;toxic
điên máu với cái web này luôn;toxic
tưởng hay ai ngờ tệ khỏi nói;toxic
coi 10 phút tắt luôn, chịu không nổi;toxic
đạo diễn kiểu gì mà dựng phim như trò hề;toxic
nhạc nền cũng chọn tào lao, không hợp cảnh;toxic
thôi xin, xem xong tụt mood;toxic
vào đọc comment thấy khen xong xem thử, giờ thấy bị lừa;toxic
tụi bây khen làm gì, phim tệ rõ ràng;toxic
ai chấm điểm cao cho phim này đúng là có vấn đề;toxic
cười ỉa với độ nhảm, không hiểu nổi;toxic
web gì lỗi suốt vậy, sửa hộ cái coi;toxic
cắt cảnh như bị giật mình, dựng ngu vl;toxic
thuyết minh nghe phát mệt, tắt tiếng luôn cho rồi;toxic

vào nhận thưởng 500k mỗi ngày, chi tiết ib;spam
ai rảnh kiếm thêm thu nhập thì vào nhóm này nhé: https://zalo.me/abc;spam
xem phim free full hd tại kênh mình, bấm sub ngay;spam
trúng iphone 15 pro max khi tham gia event: http://event-lua-dao.com;spam
đăng ký khóa học đầu tư crypto, lợi nhuận 300%/tháng;spam
cần tuyển 100 bạn ctv bán hàng, lương 20tr/tháng;spam
ai muốn buff view tiktok thì ib mình;spam
group xem phim không quảng cáo, join ngay: fb.com/groups/abcd;spam
kênh mình có bản full không che, qua ủng hộ;spam
xem phim mà không bật adblock thì phí lắm: tải ngay app này;spam
ai muốn thuê acc netflix giá rẻ ib;spam
tool hack game free, tải tại blog mình;spam
nhận kéo page, tăng like, tăng follow giá rẻ;spam
bán acc vip xem phim trọn đời, bảo hành 1 năm;spam
vào web khác xem đi, web này phèn lắm: link tại bio;spam
clip nóng mới leak, link trong profile;spam
ghé shop mình ủng hộ, chuyên bán áo quần giày dép;spam
ai cần code giảm giá shopee thì ib mình;spam
đăng ký ngay khóa học làm giàu, mentor kèm 1-1;spam

phim hay nhưng quảng cáo hơi nhiều;clean
kết phim hơi vội, nhưng cũng chấp nhận được;clean
xem thấy ổn, không quá xuất sắc;clean
mình thích cách xây dựng nhân vật chính;clean
nhạc phim nghe khá bắt tai;clean
ai mê thể loại này thì nên xem;clean
tạm chấp nhận, chấm 7/10;clean
đầu phim hơi chán nhưng về sau cuốn;clean
một số cảnh xử lý chưa tới nhưng vẫn ok;clean
web up cũng nhanh, ổn;clean
cảm ơn vì đã up phim này, lâu rồi mới thấy;clean

nhảm nhí vl, phí băng thông;toxic
coi xong tức cái lồng ngực;toxic
phim như *** mà cũng sản xuất được;toxic
đừng up mấy phim rẻ tiền thế này nữa;toxic
fan phim này chắc có vấn đề;toxic
cả phim chẳng có gì hay, nhạt như nước ốc;toxic
đoạn cuối làm lố, xem mà ngứa mắt;toxic
ai khen phim này chắc chưa xem phim hay bao giờ;toxic
ngồi xem mà chỉ muốn tắt đi;toxic
phim dở tệ, miễn bàn;toxic

xem trên điện thoại hơi mờ, trên pc thì ổn;clean
có ai bị mất tiếng ở phút 30 không;clean
ad fix lại tiếng đoạn giữa với;clean
ai biết phim nào giống phim này không, giới thiệu mình với;clean
thấy cũng ổn, xem giải trí được;clean
phần 1 hay hơn phần 2 nhiều;clean
đang coi mà bị out ra, chắc do mạng;clean
thích mấy đoạn đối thoại cuối phim;clean
ai lười đọc sub thì đợi bản thuyết minh nha;clean
xem mà nhớ lại tuổi thơ;clean

mời mọi người tham gia group chia sẻ link phim: t.me/abcxyz;spam
bấm vào đây nhận 100k miễn phí: http://free-money.fake;spam
channel mình có nhiều phim hơn, ghé qua xem thử;spam
đăng ký app này nhận thưởng mỗi ngày, rút tiền momo;spam
like video và comment để nhận quà;spam
ai muốn xem bản vip thì qua web khác, link bio;spam
trang này xem chán lắm, qua kênh mình;spam
comment để được tặng acc vip;spam
